年,日本,アメリカ,中国
1980,1127.88,2857.33,303.0
1981,1243.79,3207.03,288.7
1982,1157.6,3343.8,284.6
1983,1268.62,3634.03,305.43
1984,1345.2,4037.65,314.23
1985,1427.35,4339.0,310.13
1986,2121.25,4579.63,300.92
1987,2584.34,4855.25,327.73
1988,3134.18,5236.43,408.66
1989,3117.07,5641.6,458.18
1990,3196.56,5963.13,396.59
1991,3657.35,6158.13,413.21
1992,3988.33,6520.33,492.15
1993,4544.77,6858.55,617.43
1994,4998.8,7287.25,561.69
1995,5545.57,7639.75,731.0
1996,4923.39,8073.13,860.47
1997,4492.45,8577.55,957.99
1998,4098.36,9062.83,1024.17
1999,4635.98,9631.18,1088.35
2000,4968.36,10250.95,1205.53
2001,4374.71,10581.93,1333.65
2002,4182.85,10929.1,1465.83
2003,4519.56,11456.45,1656.96
2004,4893.14,12217.18,1949.45
2005,4831.47,13039.2,2290.02
2006,4601.66,13815.6,2754.15
2007,4579.75,14474.25,3555.66
2008,5106.68,14769.85,4577.28
2009,5289.49,14478.05,5088.99
2010,5759.07,15048.98,6033.83
2011,6233.15,15599.73,7492.21
2012,6272.36,16253.95,8539.58
2013,5212.33,16843.23,9624.93
2014,4897.0,17550.68,10524.24
2015,4444.93,18206.03,11113.51
2016,5003.68,18695.1,11226.9
2017,4930.84,19477.35,12265.33
2018,5040.88,20533.08,13841.81
2019,5118.0,21380.95,14340.6
2020,5050.68,21060.45,14862.56
2021,5011.87,23315.08,17759.31
2022,4237.53,25462.73,17886.33
2023,4230.86,26949.64,17700.9
